,zipCode,Density,LandArea,Population,Wealthy
3184,94103,19977.9411765,1.36,27170.0,23481.6626426
3185,94134,16999.1666667,2.4,40798.0,16602.7983725
3188,94114,21765.034965,1.43,31124.0,55081.8068693
3189,94131,12923.5576923,2.08,26881.0,43765.7415647
3190,94124,6895.74036511,4.93,33996.0,13046.1346629
3191,94102,46531.3432836,0.67,31176.0,15423.1812292
3199,94123,22635.2941176,1.02,23088.0,71547.6329695
3200,94114,21765.034965,1.43,31124.0,55081.8068693
3203,94117,23176.9230769,1.69,39169.0,38289.6465317
3205,94117,23176.9230769,1.69,39169.0,38289.6465317
3208,94134,16999.1666667,2.4,40798.0,16602.7983725
3211,94127,10897.740113,1.77,19289.0,43491.6667531
3212,94122,23738.559322,2.36,56023.0,26177.8981311
3214,94108,50992.5925926,0.27,13768.0,50804.5254939
3215,94103,19977.9411765,1.36,27170.0,23481.6626426
3218,94121,13377.5974026,3.08,41203.0,29058.4811543
3220,94103,19977.9411765,1.36,27170.0,23481.6626426
3222,94115,29483.0357143,1.12,33021.0,43106.9525756
3223,94107,14859.7765363,1.79,26599.0,49267.0613557
3225,94121,13377.5974026,3.08,41203.0,29058.4811543
3226,94103,19977.9411765,1.36,27170.0,23481.6626426
3228,94102,46531.3432836,0.67,31176.0,15423.1812292
3229,94111,10920.5882353,0.34,3713.0,70755.441422
3234,94134,16999.1666667,2.4,40798.0,16602.7983725
3235,94110,29756.6523605,2.33,69333.0,27502.0329136
3237,94123,22635.2941176,1.02,23088.0,71547.6329695
3242,94110,29756.6523605,2.33,69333.0,27502.0329136
3245,94107,14859.7765363,1.79,26599.0,49267.0613557
3246,94115,29483.0357143,1.12,33021.0,43106.9525756
3247,94103,19977.9411765,1.36,27170.0,23481.6626426
3248,94123,22635.2941176,1.02,23088.0,71547.6329695
3253,94110,29756.6523605,2.33,69333.0,27502.0329136
3254,94116,16871.8146718,2.59,43698.0,26774.0563184
3255,94122,23738.559322,2.36,56023.0,26177.8981311
3256,94123,22635.2941176,1.02,23088.0,71547.6329695
3258,94109,47045.3781513,1.19,55984.0,33224.3382216
3259,94117,23176.9230769,1.69,39169.0,38289.6465317
3263,94103,19977.9411765,1.36,27170.0,23481.6626426
3264,94127,10897.740113,1.77,19289.0,43491.6667531
3265,94124,6895.74036511,4.93,33996.0,13046.1346629
3266,94117,23176.9230769,1.69,39169.0,38289.6465317
3269,94110,29756.6523605,2.33,69333.0,27502.0329136
3270,94102,46531.3432836,0.67,31176.0,15423.1812292
3272,94108,50992.5925926,0.27,13768.0,50804.5254939
3274,94118,19650.7692308,1.95,38319.0,41202.501083
3276,94115,29483.0357143,1.12,33021.0,43106.9525756
3278,94134,16999.1666667,2.4,40798.0,16602.7983725
3280,94102,46531.3432836,0.67,31176.0,15423.1812292
3281,94103,19977.9411765,1.36,27170.0,23481.6626426
3284,94122,23738.559322,2.36,56023.0,26177.8981311
3286,94112,23633.0357143,3.36,79407.0,18441.9432796
3289,94109,47045.3781513,1.19,55984.0,33224.3382216
3290,94110,29756.6523605,2.33,69333.0,27502.0329136
3291,94134,16999.1666667,2.4,40798.0,16602.7983725
3292,94110,29756.6523605,2.33,69333.0,27502.0329136
3294,94121,13377.5974026,3.08,41203.0,29058.4811543
3295,94110,29756.6523605,2.33,69333.0,27502.0329136
3296,94115,29483.0357143,1.12,33021.0,43106.9525756
3297,94110,29756.6523605,2.33,69333.0,27502.0329136
3298,94123,22635.2941176,1.02,23088.0,71547.6329695
3299,94107,14859.7765363,1.79,26599.0,49267.0613557
3301,94127,10897.740113,1.77,19289.0,43491.6667531
3302,94110,29756.6523605,2.33,69333.0,27502.0329136
3303,94131,12923.5576923,2.08,26881.0,43765.7415647
3304,94127,10897.740113,1.77,19289.0,43491.6667531
3305,94127,10897.740113,1.77,19289.0,43491.6667531
3306,94131,12923.5576923,2.08,26881.0,43765.7415647
3310,94110,29756.6523605,2.33,69333.0,27502.0329136
3311,94129,1383.91304348,2.3,3183.0,54101.3147974
3312,94107,14859.7765363,1.79,26599.0,49267.0613557
3313,94110,29756.6523605,2.33,69333.0,27502.0329136
3314,94116,16871.8146718,2.59,43698.0,26774.0563184
3316,94114,21765.034965,1.43,31124.0,55081.8068693
3318,94117,23176.9230769,1.69,39169.0,38289.6465317
3321,94158,7260.60606061,0.66,4792.0,38522.5550918
3323,94122,23738.559322,2.36,56023.0,26177.8981311
3327,94107,14859.7765363,1.79,26599.0,49267.0613557
3328,94127,10897.740113,1.77,19289.0,43491.6667531
